v8-version,14,6,202,33,-node.19,0
v8-platform,macos,macos
new,CodeRange,0x126604000,0
new,MemoryChunk,0x274c84b80000,262144
new,MemoryChunk,0x8fe3f540000,262144
new,MemoryChunk,0x243b908c0000,262144
new,MemoryChunk,0x35b1c4740000,262144
new,MemoryChunk,0x25d39e540000,262144
new,MemoryChunk,0x24b6ce900000,262144
new,MemoryChunk,0x22cd6400000,262144
new,MemoryChunk,0x37b3c3040000,262144
heap-capacity,1048512
heap-available,4397727616
new,MemoryChunk,0x1f25eda80000,262144
new,MemoryChunk,0x3e8dfbbc0000,262144
new,MemoryChunk,0x25928c5c0000,262144
new,MemoryChunk,0x24e684180000,262144
new,MemoryChunk,0xd3869800000,262144
new,MemoryChunk,0x126640000,262144
new,MemoryChunk,0xe42ec980000,262144
new,MemoryChunk,0xce478cc0000,262144
new,MemoryChunk,0x23c6ad880000,262144
new,MemoryChunk,0x17f8cda00000,262144
new,MemoryChunk,0x3325b9dc0000,262144
new,MemoryChunk,0x2aa982880000,262144
new,MemoryChunk,0x17882de40000,262144
new,MemoryChunk,0x126680000,262144
new,MemoryChunk,0x932134c0000,262144
new,MemoryChunk,0x31aefd880000,262144
new,MemoryChunk,0x1dbee01c0000,262144
new,MemoryChunk,0x14d0e7000000,262144
new,MemoryChunk,0x183f55740000,262144
new,MemoryChunk,0x275e38580000,147456
new,MemoryChunk,0x2de872480000,262144
new,MemoryChunk,0x222cc9fc0000,262144
new,MemoryChunk,0x19acc0280000,262144
new,MemoryChunk,0x2b1dfa440000,262144
new,MemoryChunk,0x34ecce4c0000,262144
code-deopt,26131,416,0x126645280,-1,9320,deopt-eager,<node:internal/per_context/primordials:334:24>,wrong map
new,MemoryChunk,0x230f6d440000,262144
new,MemoryChunk,0x313e2bac0000,262144
new,MemoryChunk,0x1e770da80000,262144
new,MemoryChunk,0xb3a56dc0000,262144
new,MemoryChunk,0x3f9d18400000,262144
new,MemoryChunk,0x3ef01e500000,262144
new,MemoryChunk,0x2a1726a40000,262144
new,MemoryChunk,0x3f4721980000,294912
new,MemoryChunk,0x34c59e1c0000,262144
new,MemoryChunk,0x251808bc0000,262144
new,MemoryChunk,0x1bc4c05c0000,262144
new,MemoryChunk,0x7f3824c0000,180224
new,MemoryChunk,0x38d628d40000,262144
new,MemoryChunk,0x185464940000,262144
new,MemoryChunk,0x9bf46d40000,262144
new,MemoryChunk,0x54a6b840000,262144
new,MemoryChunk,0x203a3a480000,262144
new,MemoryChunk,0x4c415500000,262144
new,MemoryChunk,0x14a77bb40000,262144
new,MemoryChunk,0x1a1709540000,262144
new,MemoryChunk,0x15624d480000,262144
new,MemoryChunk,0x9192c100000,262144
new,MemoryChunk,0x210a42d40000,262144
new,MemoryChunk,0x26802e440000,262144
new,MemoryChunk,0x2755b1500000,262144
new,MemoryChunk,0x14bdf06c0000,262144
new,MemoryChunk,0x564e5f40000,262144
new,MemoryChunk,0x257645700000,147456
new,MemoryChunk,0x1aa1b56c0000,147456
code-deopt,78507,864,0x126665880,-1,13737,deopt-eager,<node:internal/bootstrap/realm:421:10>,wrong map
new,MemoryChunk,0xcccbd940000,262144
new,MemoryChunk,0x2ab7ff9c0000,262144
new,MemoryChunk,0x1264cbac0000,262144
new,MemoryChunk,0x326148e40000,262144
code-deopt,87898,864,0x126665880,-1,14034,deopt-lazy,<node:internal/bootstrap/realm:429:14>,(unknown)
new,MemoryChunk,0x153d1aac0000,262144
new,MemoryChunk,0x3a2fc7080000,262144
new,MemoryChunk,0xb30b040000,262144
new,MemoryChunk,0x128efcec0000,262144
new,MemoryChunk,0x286444300000,262144
new,MemoryChunk,0xefeabd80000,262144
new,MemoryChunk,0x1266c0000,262144
new,MemoryChunk,0x32d19c5c0000,262144
new,MemoryChunk,0x32448f680000,262144
new,MemoryChunk,0x94589800000,262144
new,MemoryChunk,0x1f7ce8540000,262144
new,MemoryChunk,0x2abea380000,262144
new,MemoryChunk,0x2923e3d00000,262144
new,MemoryChunk,0x39a409a00000,262144
new,MemoryChunk,0x35c3c9a80000,262144
new,MemoryChunk,0xd40f0a40000,262144
new,MemoryChunk,0x169e265c0000,262144
new,MemoryChunk,0x3e18dd740000,262144
new,MemoryChunk,0x386701e40000,262144
new,MemoryChunk,0x1da4bbf40000,262144
new,MemoryChunk,0x32578b280000,262144
new,MemoryChunk,0xc96000000,262144
delete,MemoryChunk,0x998389400
new,MemoryChunk,0x294d2a840000,262144
new,MemoryChunk,0x1d81394c0000,262144
delete,MemoryChunk,0x9983a3800
delete,MemoryChunk,0x9983a1000
code-deopt,130120,1056,0x12666b740,-1,3034,deopt-eager,<node:internal/worker/js_transferable:96:29>,Insufficient type feedback for binary operation
new,MemoryChunk,0x3a9ceb40000,1605632
new,MemoryChunk,0x2bf4c8a40000,180224
new,MemoryChunk,0x3bdee7bc0000,147456
new,MemoryChunk,0x1f893be80000,262144
new,MemoryChunk,0x138e9fe80000,262144
new,MemoryChunk,0x1e1df5740000,262144
new,MemoryChunk,0x4962c880000,262144
new,MemoryChunk,0x3e70c1a80000,180224
new,MemoryChunk,0x358d49900000,294912
new,MemoryChunk,0x155987180000,262144
new,MemoryChunk,0x3abe85080000,147456
new,MemoryChunk,0x343c23300000,262144
new,MemoryChunk,0xc400a280000,475136
new,MemoryChunk,0x2a4be82c0000,262144
code-deopt,238999,2208,0x1266b7420,-1,4172,deopt-eager,<node:path:126:33>,Insufficient type feedback for compare operation
new,MemoryChunk,0x3a207b480000,262144
new,MemoryChunk,0x11f23740000,262144
new,MemoryChunk,0x335b73000000,212992
new,MemoryChunk,0x3f9ac5d40000,524288
new,MemoryChunk,0x11f610500000,262144
new,MemoryChunk,0x2d8621140000,262144
code-deopt,250719,3488,0x1266dc240,-1,3461,deopt-eager,<node:path:110:17>,Insufficient type feedback for binary operation
new,MemoryChunk,0x3ca949440000,262144
new,MemoryChunk,0x18a222980000,262144
new,MemoryChunk,0x3e0df4840000,262144
new,MemoryChunk,0x2eacbe1c0000,262144
new,MemoryChunk,0x3cfb32c80000,262144
new,MemoryChunk,0xf24bf040000,262144
new,MemoryChunk,0x297437c40000,262144
new,MemoryChunk,0x9c8e4d80000,262144
new,MemoryChunk,0xc878d240000,262144
new,MemoryChunk,0x3747ae700000,262144
new,MemoryChunk,0x3dd739700000,262144
new,MemoryChunk,0x18968cd00000,262144
new,MemoryChunk,0x2192d7d80000,229376
new,MemoryChunk,0x219cfee00000,262144
new,MemoryChunk,0x82ba0fc0000,212992
new,MemoryChunk,0x1ea89b940000,262144
new,MemoryChunk,0x833a8780000,262144
new,MemoryChunk,0x2c98b1680000,262144
new,MemoryChunk,0x29012c5c0000,262144
new,MemoryChunk,0x360b9b4c0000,262144
new,MemoryChunk,0x1e1abb440000,262144
new,MemoryChunk,0x100a2d600000,262144
new,MemoryChunk,0xf3fb4640000,262144
new,MemoryChunk,0x2d1fbd880000,262144
new,MemoryChunk,0xb510b880000,262144
new,MemoryChunk,0x1828839c0000,262144
new,MemoryChunk,0x3d1341200000,262144
new,MemoryChunk,0x3094414c0000,262144
new,MemoryChunk,0x25bf78d00000,262144
new,MemoryChunk,0x16a9d3100000,262144
new,MemoryChunk,0x216771080000,262144
new,MemoryChunk,0x21548e040000,262144
new,MemoryChunk,0xa61e7400000,262144
new,MemoryChunk,0x259d2cc0000,262144
